siteid,projectid,PIDHASH,hash1,hash2,hash3,hash4,hash5,hash6,hash7,hash8,hash9,hash10,exclusion
1,Linkja Project,0F47455E05DD853A6CFDDEFDECFC7D41BC3635DB8B7D14A4B6F264187ED27F8197B02D4F12BDD4CE5770A5DBB76C8AA2F1D721557AA0E02DCAEC0233C75B574F,,2062FE251B37E534A6A7BD11C26C2B56B8B265DB32E50C6DA631CB422E1536C95310774967693E74F7FD0F14ED35BE33BC5272E3DCB03EF4588C45E72CF50AE9,,B9ECE84E86488688A08680ED4A64A51B4E8D27D9228CAEA64F1CAE3CA82BEA0DAA6B0A5310137FD339E3FF6819E071BC12F2F3623E812C7D819E471569AD3327,,B84744DB916E0E46FF78FF24F841B6F3D5169B4166CE4845E26F4D887E0330AFA2378146EB38B6953C0DA80F65FE9471EECECB679338BDC7FE2A98CF2AC14F76,,6C6EA4F0A94216102E694BFF28C01B89389058CCBC184CCAD705047A8E5C648014DBA3A99FA343D29CF4D6F883CC966ECC136D188B31DE6236E4A89ACE69EE52,,,0
1,Linkja Project,8040AD85AEBFA65E6919922E4675A4F5771628CE4B4789B092490DD3DDE80D06155A8E53ADAEC0DD60D158AB14612A97F233FAF40AEB50A663C509B86BA620E5,,86E779E9BCD89E4FE4EE6D5CB332F3C683DC4A47BE4E53BD3FA2B3E1E610BCD32B4FCE78BC941FC8D7D2575054F2E3542085BA4FED7D75881496EF6778BF9473,,71ED3175609F6F36A9DA6172049B61126A196866E83FD50A26BE9DA63E6EADBBC8367737734BCAC6702A3A06EECF6EE2BA785E2F221D703BE8BA6D5FF0767F55,,74191B83CA5F0C3E8805279D89DC1C8FF5EB9ADF95FC3C852395F4DBE7DAB17B8281E0261F1B18B3A52983F52B1458B0FEA56C476D3D512BD3C69794F6A014A9,,1B8E598EC24B07BD1BAEF8155B88ECA00D8D8E3494DDA3334D5616D353B385DB6B1AE2D6ECB50BAF765C523F368A3A6CA5D21E4DE442161F5C4710B2BF4FFEA2,,,0
1,Linkja Project,E42927C192893C0B2D0E629568DE218161ECE5498391B206D355DACFCDC6CAC26CC5FD24377551653FF96111F1942897ABB0BC0F99A78FBB614D6360CD6603C1,,06C68B6334A3B7E68B1FFC5486C716952C976D1D1BCECBFD151C036F2F96800DD4CDC004E217C3AED0A706C1C5FE50DEB41D417C7C88AA597CD2692815DFD155,,6265F657C1AB6226CB3DF9B60C7919797EBB16096F1B84968B491A32261AD4205DD4CBB770532F8B8A94044948765F32730E51AD2ADDDEEB70EC9D6F9D8225B2,,2DE6CEDB3DAEB955815EC16C9261CBA9C2CE9DF07CCA42D2D018191367C2E9065CF223FE2A574ECBABA27961A3D0D7C69D2B561B96E3083E2125E4AF9594792F,,7A04CEF2FB3BF15E4F94F3EFA9C7F4280A5507D0B9D11767FDF0464E183E5BB948D0F0BAFD3FB56DA1EB24C88ABEAB7C964FFC6565E808C80F4A6B1D3EF34D9F,,,0
1,Linkja Project,E5934426B11671C8843FF23642C6FB017D62F552969EACEE9E972BF9F27DF9876811B562315DCBBFE83FB018279C0F72B36237AEA6BED62A4B5C6913F9BAB12C,,2F4F9C03102F52F23D86133E8047480597B5BADFB1CEAABDDD3E87625BF0104B34E3AF0FF771E0C72C8DCEE3245B6420E7F9B78003273470DD766711E9D877E4,,5D2F217E8F4D6C59230F95D419AE940B899A4DE36D573EBD84D1FB959B5645173DB260FD5833A8EB6544C49BAB52C12218483117B138C0E41194F20ADC365C79,,DBFC1E4D6C2EB739EB43F711E8043EE4254655315528EF2BDA9E5A3D45E6479FBD934D6B325C3BFF77C76544CAD6E630A064538BFEC9B32A708D9C822437B197,,87BFC3C6CF32B1C89E56A812756120A15F99FBA32FE55EE1026EE7AF3BBF52A49E3C880AB2D136F9C7BAF03405FDD472DB2540AC6FA19ACCD975176C5AC706E5,,,0
1,Linkja Project,E5934426B11671C8843FF23642C6FB017D62F552969EACEE9E972BF9F27DF9876811B562315DCBBFE83FB018279C0F72B36237AEA6BED62A4B5C6913F9BAB12C,,41F380C449A8BAF1AF5EF6B45A78A16A6F6FA4982DDF1CE29D3723BAADC453CBBAB0EF157BC9D76641C45EDFDD922CA3B0B9E4903109D76DE693E17AE7D0A254,,DD4FC45C27CED53CE7106809D00299340ED7CE0BE0ED704799F37184DB28C1D31D03B40AA49A7FB2BB0CDD20EFCB2331ED441449E571983AE87BC04918F592D9,,3A9CE7585DD0B2C9C5EF77F1B167AB5ABB58CB062682B8F86D394219775AF7C031B0114E1600DD4AE362609BDF7C41AF38AF6A366C681172375CAC8B3505ECF2,,,,,0
1,Linkja Project,E5934426B11671C8843FF23642C6FB017D62F552969EACEE9E972BF9F27DF9876811B562315DCBBFE83FB018279C0F72B36237AEA6BED62A4B5C6913F9BAB12C,,4DE8B82F087496DB8B330AF0B3882048B83042B47CCC5D26FDE5572C076F0B2726EEE64EF3C625896A9FB9B452D41E67ABDAE8E904099A72B4CA502F3F314FB0,,C86ED442E232F39327916AE13BD614D72F524BC0C4E1B21EAA6BF45B9033B839CA244C7E61A60FFE220CCF1FD7351688905C55653F3FA143392771586B6E3794,,521DA86EEE20728D9D969B832F2BDD0ECC90EB61E660DCBEEC5063C132D8A991D76CEE17A688038ED53BC8E48242FDF545DF96EB3163E4CD4B560C65ABF14C32,,,,,0
1,Linkja Project,3B9F7F8C413DAD012514F2BE5CE621EDE4439E9A10F651EAF50DCF3EC0875C4B54A9EC01AC46759FF5E369414E88A8810FC8F940725EB34E5C85FA04862E5808,05AFB971857C3EB074B25D2DE59FABEE683AD81943489038134901B93B24AB02509CEAC257D45D86F15E4AB578CB59F305EBF6026A04735AC7417CEB33A7EEEE,6897FFEA7BC5DCAB540FD781C347423D20D8F703580B564933CD08740CD1494EEF76F7D0B2D883B5CE4059FE24F27D782652FBDDFFC79A38C235CB3B782733E2,93E7DF8E783B47C44D37879EDB6D33530AF205D45DF8984277FCC0B40E270170F5055CE9FF94F6C7276BD42DEDA04F206CFAD2D6A74AD722BD7048463D19AA10,AA37D8F1A49A7299444A11FF9EFB5AC6A7569FC34E84A34322D947F391217D46AB4D5845F4BDFDA2E159AB468FB39D6F855193CEA9ED3B83E1494366A8F82255,09BED2B00E6816D5CEC4D5C2FD92B7CFD84DCBC818DBDA810BDE5FA2B3B87D44E81132464CE66E0C58871BA7C6EAB95D911D42B1BA93700A78573B053F4C4388,E22E4110996A412FBB51121FD60B295FC9158929027F15DFA8E9988BC452C4101FEE5D6F91806CECA0853A41F8A1A495FD5694F504BDD64716BBF52071074427,2C4627E9D3DF80962062F975D1C41E0363F1435FA7558F4BE4AD0999233D0D1770362BB24CF679D35E406A51439AF59F5D26A2C392CEF3D49212286E80D6858A,6598B4446C0017FA79C324A77387C103223A1214234A0BE4527ED1C5AE7BC95998F612B0D0AD2557FCE650FBF778779ECBEF5D3DA73EA91370AABE6E352657D6,944E94E84AFDE0AF3C3E8658289397761E385623A0CFBF559297B84A62910C5EEC2AE467E04187D1C46B41F3725DE404C85A1317745D3892208AD808CF24B26D,A346A0D901FD9B23AB0FD2F816361E458A5B1160AEA37127CF8403803239F036D6C5DC4E861B5F88D07AF92B00B17B2EB44C5BC644A08C8C7F16D6FE3D3A3FE5,0
1,Linkja Project,731DF943674253A35E1EA9763795ACBDB7A932585DF4627BB1B6E4ABEB4E2A6E278D5A9B6E140EABE80162F288BBA9AEA14B82A5097B01EA3863ACF703A4B05F,44204A66B3BF1634BDFBCFE453E009E81C0F00814B284DD431B2A6C55085DF1B04B13BE85B8DD533231602B85AC08457CAE4256F700746FD63ED7A7C87ACB9D2,8E3E6B750969C79BFBC912B2E650C90092F4E1FE38FF5A9D70764C18947EA8BD324C2C2F5B48E9FDF6B99D28644F25ABAA478397B7DFC21EC66BC26E545525B1,26284ED6126728649614584B7C30D9F9310B2BB4703601DD09AA2A7D6B9BAADF58C44676064C37E7EED5DE9DABB331068AC12942A264AA12FD488444F2144729,25CC251C5A9A5424E597F5D355BB3950383580C19F11B847E036C1578FF37122D9CF38ABAA73E2CC84BAD5F46E0221BFAC4289FB237E753D5BACFD9CFFCDE89C,570297CDAE063906FFD21E8D156ECD91C28060BD3F11D29869739F9CB39F1A8BA219C3D99A889AB4B48325E1FCAB49A3E58121A1B3CF9B3132297B964AD8FC23,E16CA9F5F0C87614FBF5BA47304801FAAA83D9655781026B8011E3D0A9750C1C960FB8C251B5B7AE0EEA0E9937EA38D9762D3124BC28A7070D54478A53F8B00A,B707D58A55499A2960D978D86D797E0FB712849A609D35D2A1E695B283B619D4C1ED31FB64E717719905612C78A15B9FD81635064B863DD58A8B8BAA95A588C0,754729114B5249ECACDF920998437A455B8C437966E7CE2305A2B60B82F674FBB0278E0E007B009E9EA4C5ED60A02370747376D1C9D1DD0FA1B0FFB3A1A7E54F,BD54D9ECC8232FC724B94816C7264172866100A14AF4C1CEF70DB1BBE1910A5A5D423D7ED86F7D181CC07C8DA4C6B4250AD4CD0F87B39CFB341D12DA1BAB3DBF,F8CCAB1F7C73CAC57D114B6CC5CBA138A8E3BB26A2B684046CF90DF8B5F6454FC20E5ACD98671347A3FA59E1C8D59C2F7A044381ABC64D4D67D345F877081E5C,0
1,Linkja Project,5AC3D1E2C71884C324E79FF211534982D8505E170902DBCCE36C1AD977DF8F8D2812637D2992F7B6C12E63A3D8276CE8586430922BC45366F720AC4ED574B9A4,90E0A009146FB4AC695E8DF3877E31E595DC78BC1C31A23EC79297FAA2BC6140A3DCA25FD725AAB202F1D0E77FB67274AEFC9C2D7057BB36F67B90C609B59631,F13E40F754ADC2CDF37AE3AE49F1FE913E2E3E3DCCCCD7085A4F9E5F072C851EF6384C827C9F75C6F6CE4B54FA0F751AFD6AE6A02D31D38F731D39A8ABD654EA,F78CDA7F551252C458BA73995444C9C5BE98DD9681EB6F194435CEF91CC47183D59D2811A59E2E2C3BDF922552152CCE670AEA88F6C175B94323988CCC951C06,65B09869DD1EA201DA439B52C0C0B53D44DAD9EC837C02DD5ED8CDB6B191F29C460EA5D9B15CB44E3DDE1117B75EAB0DBEC28E1F0F5465161EE6870E40FC37F9,F9A2CC6A4E9595E86E9B3B996A936DF5D7EA28EB10337971E84C2C3378F5927F9E919AB8868B7FCDD73581DAE825599610636C85B98F1180721D9DF4D3877C6D,81AC72678DFEB820FF777494FEA5B81C2E211D5D55B64E1B087F724211095210DC513A6CF3F3FA8AB247F55F68C66627B0FD06DD540128526B4B2A0103F56C92,937E4F6964F34EB1FE254CE366327C3260B69F3E3B8BF2F68C51E9320C98871934957A52B5EBE9C982D675B4B2BBFF2EB4891DED0C14ACEF4F11BE1D4FF90918,43A0DED05E40E972EB4D9DEC8FCAEF107E1685A77B78BBFE719059BE8836F179FEF3C79092E56134B0CDC693CB675CDD52738D31787B19FF8682A9326028B982,8270FD26CFD5E197780ACF64B1E042F16ABC7FC5C3A252378D322BF627CD7EFFE92330D9582C97AF606904A4277775945177F13039F9762CA6213FECE4133A60,569FCA90C6FDF4F6B32BC0799F113FF4084E5C754CC47D352B6A1E3C31A4B8090A93D23885AEAFEB09757495926C61FD03740C9BC04CE0952DA4A3601736DCAA,0
1,Linkja Project,5AC3D1E2C71884C324E79FF211534982D8505E170902DBCCE36C1AD977DF8F8D2812637D2992F7B6C12E63A3D8276CE8586430922BC45366F720AC4ED574B9A4,7DF4C6865EB82835155AB872A25C9CFA14F12D687088B4709AC7FFE898344353615BDA9170543F2F84FD0EA34321CD9CF6EEBB9EA20C904390668FF2B66EED83,6363792FA8548750D6B392C42F7EC463A4250121987F062C120D16534394FBC3BBB26471FF4A26EFDE3F3120274FC22F0F191FC9C31CC2B0A4FC455E8C685583,3F15801DBD15334372E874160EF18B3509FB2B042E1B7ED1B58DE6661BD6369511E0AA0DED86F4D883DBC234187B31C34C506E67A5128E6C2616B35DAB8B170D,63DB94A187CD59D1FAC5E4AFEE117F293F7C328352C720F57230C6A21A0598F187DF625026C676FBB0738689A76809C59035949B62AC4FD41906736B43DB65B7,E9996756F272C78C6ED5ED013E580F157649C060062719304F4F0D36F21C23031E383ED96BB9538FB8B50279515A5A7E81A079333C134D79623057B124F6BDCC,3BFDF41FA61DECAAA0E2F1BFB85BC85BCF7612C6630C0EA6774380F80CE6700087B2DF03009B08AAA725D56193D8140412F9F971E66C584DC34D4EDA1EDB4ECE,,,E6B3D87911D5E9B4C8D7925137D172DCEB3C567CCCAD953E2683DBC022222E83C231412EB06848B2B8877784D046CDE4C3A0A155E5962B1D702204A2DA4A1E8B,5E6EBBCA15AC5835D5B40B983AB3F414042C36B158452E26D5A409A03E04EF530B842161DB890DBD64ED117F8A3D12FF783511D59996EFF6902D778A1D7F18C7,0
1,Linkja Project,5AC3D1E2C71884C324E79FF211534982D8505E170902DBCCE36C1AD977DF8F8D2812637D2992F7B6C12E63A3D8276CE8586430922BC45366F720AC4ED574B9A4,AD801CF56A4278E1D83B939E0D53EE36D1A893BB3728DA3038AFEA245E652FBA3BACD5002AC07CA14B9C60F3043E13DE7E72E45BA4FD008BA8F38C87F18ACFE2,2C737B4E35DA8C3387A14EDD0F81F09561E98C70D3A05D6CCFBA8E4FB51967601CE7D8BA7C404052C442FCE3FCC7BA69187E1BDC95827F45FDF1566214BF2CE0,0FFE4C6E2C452E31668F38AEF148FC66219138EDA6D5C84126CB56DF055A916E843956E2FD2CF8E275A0B350D3AEE0005742EF02B7CB352096A5B165834DF365,21453EE80177ED1947CE40B2BF5CB09311404647A7A3FA49F88E2671B7A74CA00E208EE4275424BA054D5C76115E0B7CDBF6AB10DC2B9ABB358BF630CF189636,A5DA17CCBEA96C38974B123BF690F816B6C48C1F62BC9B986C4A9215074D56C61BBA81A41D9C8206CE8EA81BAAC0967F54ECF2BEE57395EC358AE94782BF89A2,2390AE6126F2C8CD97CEF8B825ABFC481F409720CFDC416010CCCFEF17ABF76968F5D8F3AEAE42048ED7192FEF820CD462DEB74ACC530FA897571815948A8D24,,,0444E592A2E822FDA44E6A36CDB01A020594A972060F8B97A1AF3C009592A2810EA994EEF86B7A6BA5A29EC337EE05D00E1E658C688ED8505FAA2336FEE5E88A,35604EF22ED1CE1B99592AC2DE45E47A0255F6F08ACE52EA21851A22AA6D7E4C510B3E0B39A1F567F951D4702EF640FE6B1D968C22FEA4F65D8B91F258559E0C,0
1,Linkja Project,085322587B79A69463CB88646B5E8D5DB7216758D8672BDB3965B272CC278CB3A26962A50CB60E10D88C1799AAF2D61F4B06C2E25893D09982F2653BCFA32443,,AAF61449EA3988DE5F459ED5194A3338A34D7F0E963A1C894008C293308C54E60172078760B20A9DE639DC8178204B81BFF8ADFDD33B10CC1D0EA2ABB4E4C2F5,,5532080DF8556B4EADD556A33264E1FF3B991E978476C6718F39FF71DD080E7AC181667BAE894A739E90F2CBB9C781E9DF05E27CA4659BD51A81D10AD79DF8E9,,C48E8212B74DF817572BC1BF3612E3185655F9DF8D1069ADBF761CCF5A77A085DEFE44E737425AC8A9A666F530DC4758801CD80730040C10DD4E01114F6A09B3,,14C91AFAF4C69AD07FCFE44F464A2DDBF39F396D3F72698419E34129342705D22CE32AF639BB6D832B35541374F556FC2FF3A9431838E889AFADFBD1C2038161,,,0
